AX AY AZ AT GX GY GZ GT TS
-0.1 -0.13 -2.04 -2.27 13.85 9.7 8.91 32.47 1655503798.5402834
-0.1 -0.13 -2.04 -2.26 12.51 9.46 8.85 30.82 1655503798.5435069
-0.1 -0.13 -2.04 -2.27 13.18 10.86 9.09 33.14 1655503798.5470052
-0.1 -0.13 -2.04 -2.26 13.43 10.13 10.31 33.87 1655503798.5502703
-0.1 -0.13 -2.04 -2.27 14.4 10.86 10.19 35.46 1655503798.560802
-0.1 -0.13 -2.04 -2.27 14.59 8.85 9.83 33.26 1655503798.5617862
-0.1 -0.13 -2.04 -2.27 13.37 9.09 9.52 31.98 1655503798.5625496
-0.1 -0.13 -2.04 -2.27 14.59 9.77 8.36 32.71 1655503798.5636008
-0.1 -0.13 -2.04 -2.28 13.31 9.4 9.28 31.98 1655503798.5680542
-0.1 -0.13 -2.04 -2.27 11.78 10.8 9.46 32.04 1655503798.5701375
-0.1 -0.13 -2.04 -2.27 12.88 10.86 9.03 32.78 1655503798.5735848
-0.1 -0.13 -2.04 -2.28 13.12 8.97 7.51 29.6 1655503798.5768921
-0.1 -0.13 -2.04 -2.27 12.45 10.13 10.31 32.9 1655503798.5801408
-0.1 -0.13 -2.04 -2.27 12.15 9.7 9.16 31.01 1655503798.5834565
-0.1 -0.13 -2.04 -2.27 12.21 10.01 8.67 30.88 1655503798.586793
-0.11 -0.13 -2.04 -2.28 13.0 9.52 9.52 32.04 1655503798.5901403
-0.1 -0.13 -2.04 -2.27 13.18 9.83 9.95 32.96 1655503798.593397
-0.1 -0.13 -2.04 -2.27 13.06 10.93 9.28 33.26 1655503798.5968282
-0.11 -0.13 -2.04 -2.27 11.72 9.77 9.22 30.7 1655503798.6000638
-0.1 -0.13 -2.04 -2.28 12.76 11.05 8.85 32.65 1655503798.611777
-0.1 -0.13 -2.03 -2.27 12.27 10.38 8.3 30.94 1655503798.6125424
